Material_Name,Formula,Category,Molar_Mass_g_mol,Model,A,B,C,D,E,T_min_K,T_max_K,Cp_Unit,Source
Barium Titanate Grade-N,BaTiO3-v14,Ceramics,222.7,Polynomial,109.825,21.01,-4.2975,0.4775,-2.0055,298,1400,J/(mol*K),Materials Project
Alumina (alpha) Grade-O,Al2O3-v15,Ceramics,98.9,Shomate,99.3474,37.5778,-15.4327,2.5414,-2.91,298,1800,J/(mol*K),NIST Chemistry WebBook
Silicon Carbide Grade-P,SiC-v16,Ceramics,39.5,Shomate,38.9173,14.5977,-5.122,0.79785,-1.19185,298,2000,J/(mol*K),NIST JANAF
Silicon Nitride Grade-Q,Si3N4-v17,Ceramics,140.28,Shomate,95.2,42.1,-12.4,1.8,-2.5,298,1700,J/(mol*K),Materials Project
Zirconia Grade-R,ZrO2-v18,Ceramics,125.07,Shomate,70.6643,15.428,-4.1615,0.609,-1.827,298,1400,J/(mol*K),NIST Chemistry WebBook
Magnesium Oxide Grade-S,MgO-v19,Ceramics,41.51,Shomate,47.174,8.446,-1.957,0.206,-0.927,298,1800,J/(mol*K),NIST JANAF
Titanium Dioxide Grade-T,TiO2-v20,Ceramics,83.46,Shomate,70.224,19.3325,-6.3745,0.9405,-1.463,298,1500,J/(mol*K),NIST Chemistry WebBook
Barium Titanate Grade-U,BaTiO3-v21,Ceramics,247.18,Polynomial,121.9,23.32,-4.77,0.53,-2.226,298,1400,J/(mol*K),Materials Project
Alumina (alpha) Grade-V,Al2O3-v22,Ceramics,109.61,Shomate,110.1015,41.6455,-17.10325,2.8165,-3.225,298,1800,J/(mol*K),NIST Chemistry WebBook
Silicon Carbide Grade-W,SiC-v23,Ceramics,37.09,Shomate,36.5468,13.7085,-4.81,0.74925,-1.11925,298,2000,J/(mol*K),NIST JANAF
Silicon Nitride Grade-X,Si3N4-v24,Ceramics,131.86,Shomate,89.488,39.574,-11.656,1.692,-2.35,298,1700,J/(mol*K),Materials Project
Zirconia Grade-Y,ZrO2-v25,Ceramics,117.68,Shomate,66.4871,14.516,-3.9155,0.573,-1.719,298,1400,J/(mol*K),NIST Chemistry WebBook
Magnesium Oxide Grade-Z,MgO-v26,Ceramics,39.09,Shomate,44.426,7.954,-1.843,0.194,-0.873,298,1800,J/(mol*K),NIST JANAF
Titanium Dioxide Grade-A,TiO2-v27,Ceramics,78.67,Shomate,66.192,18.2225,-6.0085,0.8865,-1.379,298,1500,J/(mol*K),NIST Chemistry WebBook
Barium Titanate Grade-B,BaTiO3-v28,Ceramics,233.19,Polynomial,115.0,22.0,-4.5,0.5,-2.1,298,1400,J/(mol*K),Materials Project
Silicon,Si,Semiconductors,28.09,Shomate,22.81,4.22,-0.91,0.12,-0.32,298,1687,J/(mol*K),NIST Chemistry WebBook
Germanium,Ge,Semiconductors,72.63,Shomate,23.3,5.1,-1.1,0.2,-0.1,298,1211,J/(mol*K),NIST JANAF
Gallium Arsenide,GaAs,Semiconductors,144.64,Polynomial,46.2,8.4,-1.5,0.2,-0.4,298,1500,J/(mol*K),Materials Project
Indium Phosphide,InP,Semiconductors,145.79,Polynomial,45.1,9.2,-1.8,0.3,-0.3,298,1300,J/(mol*K),Materials Project
Gallium Nitride,GaN,Semiconductors,83.73,Polynomial,38.0,11.5,-2.8,0.4,-0.8,298,1400,J/(mol*K),AFLOW Database
Cadmium Telluride,CdTe,Semiconductors,240.01,Polynomial,48.0,6.2,-0.8,0.1,-0.2,298,1200,J/(mol*K),Materials Project
Silicon Grade-A,Si-v1,Semiconductors,25.98,Shomate,21.0993,3.9035,-0.84175,0.111,-0.296,298,1687,J/(mol*K),NIST Chemistry WebBook
Germanium Grade-B,Ge-v2,Semiconductors,68.27,Shomate,21.902,4.794,-1.034,0.188,-0.094,298,1211,J/(mol*K),NIST JANAF
Gallium Arsenide Grade-C,GaAs-v3,Semiconductors,138.13,Polynomial,44.121,8.022,-1.4325,0.191,-0.382,298,1500,J/(mol*K),Materials Project
Indium Phosphide Grade-D,InP-v4,Semiconductors,141.42,Polynomial,43.747,8.924,-1.746,0.291,-0.291,298,1300,J/(mol*K),Materials Project
Gallium Nitride Grade-E,GaN-v5,Semiconductors,82.47,Polynomial,37.43,11.3275,-2.758,0.394,-0.788,298,1400,J/(mol*K),AFLOW Database
Cadmium Telluride Grade-F,CdTe-v6,Semiconductors,240.01,Polynomial,48.0,6.2,-0.8,0.1,-0.2,298,1200,J/(mol*K),Materials Project
Silicon Grade-G,Si-v7,Semiconductors,28.51,Shomate,23.1521,4.2833,-0.92365,0.1218,-0.3248,298,1687,J/(mol*K),NIST Chemistry WebBook
Germanium Grade-H,Ge-v8,Semiconductors,74.81,Shomate,23.999,5.253,-1.133,0.206,-0.103,298,1211,J/(mol*K),NIST JANAF
Gallium Arsenide Grade-I,GaAs-v9,Semiconductors,151.15,Polynomial,48.279,8.778,-1.5675,0.209,-0.418,298,1500,J/(mol*K),Materials Project
Indium Phosphide Grade-J,InP-v10,Semiconductors,154.54,Polynomial,47.806,9.752,-1.908,0.318,-0.318,298,1300,J/(mol*K),Materials Project
Gallium Nitride Grade-K,GaN-v11,Semiconductors,90.01,Polynomial,40.85,12.3625,-3.01,0.43,-0.86,298,1400,J/(mol*K),AFLOW Database
Cadmium Telluride Grade-L,CdTe-v12,Semiconductors,222.01,Polynomial,44.4,5.735,-0.74,0.0925,-0.185,298,1200,J/(mol*K),Materials Project
Silicon Grade-M,Si-v13,Semiconductors,26.4,Shomate,21.4414,3.9668,-0.8554,0.1128,-0.3008,298,1687,J/(mol*K),NIST Chemistry WebBook
Germanium Grade-N,Ge-v14,Semiconductors,69.36,Shomate,22.2515,4.8705,-1.0505,0.191,-0.0955,298,1211,J/(mol*K),NIST JANAF
Gallium Arsenide Grade-O,GaAs-v15,Semiconductors,140.3,Polynomial,44.814,8.148,-1.455,0.194,-0.388,298,1500,J/(mol*K),Materials Project
Indium Phosphide Grade-P,InP-v16,Semiconductors,143.6,Polynomial,44.4235,9.062,-1.773,0.2955,-0.2955,298,1300,J/(mol*K),Materials Project
Gallium Nitride Grade-Q,GaN-v17,Semiconductors,83.73,Polynomial,38.0,11.5,-2.8,0.4,-0.8,298,1400,J/(mol*K),AFLOW Database
Cadmium Telluride Grade-R,CdTe-v18,Semiconductors,243.61,Polynomial,48.72,6.293,-0.812,0.1015,-0.203,298,1200,J/(mol*K),Materials Project
Silicon Grade-S,Si-v19,Semiconductors,28.93,Shomate,23.4943,4.3466,-0.9373,0.1236,-0.3296,298,1687,J/(mol*K),NIST Chemistry WebBook
Germanium Grade-T,Ge-v20,Semiconductors,75.9,Shomate,24.3485,5.3295,-1.1495,0.209,-0.1045,298,1211,J/(mol*K),NIST JANAF
Polyethylene (HDPE),(C2H4)n,Polymers,28.05,Polynomial,1350.0,4.2,-0.002,0.0,0.0,200,390,J/(kg*K),PoLyInfo (NIMS)
Polypropylene (PP),(C3H6)n,Polymers,42.08,Polynomial,1500.0,3.8,-0.0018,0.0,0.0,200,420,J/(kg*K),PoLyInfo (NIMS)
Polystyrene (PS),(C8H8)n,Polymers,104.15,Polynomial,1200.0,3.1,-0.0012,0.0,0.0,200,370,J/(kg*K),PoLyInfo (NIMS)
PTFE (Teflon),(C2F4)n,Polymers,100.02,Polynomial,950.0,2.5,-0.0009,0.0,0.0,200,550,J/(kg*K),PoLyInfo (NIMS)
"Nylon 6,6",(C12H22N2O2)n,Polymers,226.32,Polynomial,1450.0,3.9,-0.0015,0.0,0.0,200,480,J/(kg*K),MatWeb
PEEK,(C19H12O3)n,Polymers,288.3,Polynomial,1320.0,3.5,-0.0012,0.0,0.0,200,580,J/(kg*K),PoLyInfo (NIMS)
Polyethylene (HDPE) Grade-A,(C2H4)n-v1,Polymers,25.95,Polynomial,1248.75,3.885,-0.00185,0.0,0.0,200,390,J/(kg*K),PoLyInfo (NIMS)
Polypropylene (PP) Grade-B,(C3H6)n-v2,Polymers,39.56,Polynomial,1410.0,3.572,-0.001692,0.0,0.0,200,420,J/(kg*K),PoLyInfo (NIMS)
Polystyrene (PS) Grade-C,(C8H8)n-v3,Polymers,99.46,Polynomial,1146.0,2.9605,-0.001146,0.0,0.0,200,370,J/(kg*K),PoLyInfo (NIMS)
PTFE (Teflon) Grade-D,(C2F4)n-v4,Polymers,97.02,Polynomial,921.5,2.425,-0.000873,0.0,0.0,200,550,J/(kg*K),PoLyInfo (NIMS)
"Nylon 6,6 Grade-E",(C12H22N2O2)n-v5,Polymers,222.93,Polynomial,1428.25,3.8415,-0.0014775,0.0,0.0,200,480,J/(kg*K),MatWeb
PEEK Grade-F,(C19H12O3)n-v6,Polymers,288.3,Polynomial,1320.0,3.5,-0.0012,0.0,0.0,200,580,J/(kg*K),PoLyInfo (NIMS)
Polyethylene (HDPE) Grade-G,(C2H4)n-v7,Polymers,28.47,Polynomial,1370.25,4.263,-0.00203,0.0,0.0,200,390,J/(kg*K),PoLyInfo (NIMS)
Polypropylene (PP) Grade-H,(C3H6)n-v8,Polymers,43.34,Polynomial,1545.0,3.914,-0.001854,0.0,0.0,200,420,J/(kg*K),PoLyInfo (NIMS)
Polystyrene (PS) Grade-I,(C8H8)n-v9,Polymers,108.84,Polynomial,1254.0,3.2395,-0.001254,0.0,0.0,200,370,J/(kg*K),PoLyInfo (NIMS)
PTFE (Teflon) Grade-J,(C2F4)n-v10,Polymers,106.02,Polynomial,1007.0,2.65,-0.000954,0.0,0.0,200,550,J/(kg*K),PoLyInfo (NIMS)
"Nylon 6,6 Grade-K",(C12H22N2O2)n-v11,Polymers,243.29,Polynomial,1558.75,4.1925,-0.0016125,0.0,0.0,200,480,J/(kg*K),MatWeb
PEEK Grade-L,(C19H12O3)n-v12,Polymers,266.68,Polynomial,1221.0,3.2375,-0.00111,0.0,0.0,200,580,J/(kg*K),PoLyInfo (NIMS)
Polyethylene (HDPE) Grade-M,(C2H4)n-v13,Polymers,26.37,Polynomial,1269.0,3.948,-0.00188,0.0,0.0,200,390,J/(kg*K),PoLyInfo (NIMS)
Polypropylene (PP) Grade-N,(C3H6)n-v14,Polymers,40.19,Polynomial,1432.5,3.629,-0.001719,0.0,0.0,200,420,J/(kg*K),PoLyInfo (NIMS)
Polystyrene (PS) Grade-O,(C8H8)n-v15,Polymers,101.03,Polynomial,1164.0,3.007,-0.001164,0.0,0.0,200,370,J/(kg*K),PoLyInfo (NIMS)
PTFE (Teflon) Grade-P,(C2F4)n-v16,Polymers,98.52,Polynomial,935.75,2.4625,-0.0008865,0.0,0.0,200,550,J/(kg*K),PoLyInfo (NIMS)
"Nylon 6,6 Grade-Q",(C12H22N2O2)n-v17,Polymers,226.32,Polynomial,1450.0,3.9,-0.0015,0.0,0.0,200,480,J/(kg*K),MatWeb
PEEK Grade-R,(C19H12O3)n-v18,Polymers,292.62,Polynomial,1339.8,3.5525,-0.001218,0.0,0.0,200,580,J/(kg*K),PoLyInfo (NIMS)
Polyethylene (HDPE) Grade-S,(C2H4)n-v19,Polymers,28.89,Polynomial,1390.5,4.326,-0.00206,0.0,0.0,200,390,J/(kg*K),PoLyInfo (NIMS)
Polypropylene (PP) Grade-T,(C3H6)n-v20,Polymers,43.97,Polynomial,1567.5,3.971,-0.001881,0.0,0.0,200,420,J/(kg*K),PoLyInfo (NIMS)
Polystyrene (PS) Grade-U,(C8H8)n-v21,Polymers,110.4,Polynomial,1272.0,3.286,-0.001272,0.0,0.0,200,370,J/(kg*K),PoLyInfo (NIMS)
PTFE (Teflon) Grade-V,(C2F4)n-v22,Polymers,107.52,Polynomial,1021.25,2.6875,-0.0009675,0.0,0.0,200,550,J/(kg*K),PoLyInfo (NIMS)
"Nylon 6,6 Grade-W",(C12H22N2O2)n-v23,Polymers,209.35,Polynomial,1341.25,3.6075,-0.0013875,0.0,0.0,200,480,J/(kg*K),MatWeb
PEEK Grade-X,(C19H12O3)n-v24,Polymers,271.0,Polynomial,1240.8,3.29,-0.001128,0.0,0.0,200,580,J/(kg*K),PoLyInfo (NIMS)
Polyethylene (HDPE) Grade-Y,(C2H4)n-v25,Polymers,26.79,Polynomial,1289.25,4.011,-0.00191,0.0,0.0,200,390,J/(kg*K),PoLyInfo (NIMS)
Polypropylene (PP) Grade-Z,(C3H6)n-v26,Polymers,40.82,Polynomial,1455.0,3.686,-0.001746,0.0,0.0,200,420,J/(kg*K),PoLyInfo (NIMS)
Fused Silica,SiO2,Glasses,60.08,Polynomial,700.0,0.45,-0.0001,0.0,0.0,298,1400,J/(kg*K),MatWeb
Soda-Lime Glass,SiO2-Na2O-CaO,Glasses,62.0,Polynomial,840.0,0.38,-8e-05,0.0,0.0,298,850,J/(kg*K),MatWeb
Borosilicate (Pyrex),SiO2-B2O3-Na2O,Glasses,61.5,Polynomial,780.0,0.4,-9e-05,0.0,0.0,298,900,J/(kg*K),MatWeb
Aluminosilicate Glass,SiO2-Al2O3,Glasses,64.0,Polynomial,810.0,0.36,-7e-05,0.0,0.0,298,950,J/(kg*K),Springer Open Data
Lead Crystal Glass,SiO2-PbO-K2O,Glasses,120.0,Polynomial,520.0,0.22,-4e-05,0.0,0.0,298,750,J/(kg*K),MatWeb
Fused Silica Grade-A,SiO2-v1,Glasses,55.57,Polynomial,647.5,0.41625,-9.25e-05,0.0,0.0,298,1400,J/(kg*K),MatWeb
Soda-Lime Glass Grade-B,SiO2-Na2O-CaO-v2,Glasses,58.28,Polynomial,789.6,0.3572,-7.52e-05,0.0,0.0,298,850,J/(kg*K),MatWeb
Borosilicate (Pyrex) Grade-C,SiO2-B2O3-Na2O-v3,Glasses,58.73,Polynomial,744.9,0.382,-8.595e-05,0.0,0.0,298,900,J/(kg*K),MatWeb
Aluminosilicate Glass Grade-D,SiO2-Al2O3-v4,Glasses,62.08,Polynomial,785.7,0.3492,-6.79e-05,0.0,0.0,298,950,J/(kg*K),Springer Open Data
Lead Crystal Glass Grade-E,SiO2-PbO-K2O-v5,Glasses,118.2,Polynomial,512.2,0.2167,-3.94e-05,0.0,0.0,298,750,J/(kg*K),MatWeb
Fused Silica Grade-F,SiO2-v6,Glasses,60.08,Polynomial,700.0,0.45,-0.0001,0.0,0.0,298,1400,J/(kg*K),MatWeb
Soda-Lime Glass Grade-G,SiO2-Na2O-CaO-v7,Glasses,62.93,Polynomial,852.6,0.3857,-8.12e-05,0.0,0.0,298,850,J/(kg*K),MatWeb
Borosilicate (Pyrex) Grade-H,SiO2-B2O3-Na2O-v8,Glasses,63.34,Polynomial,803.4,0.412,-9.27e-05,0.0,0.0,298,900,J/(kg*K),MatWeb
Aluminosilicate Glass Grade-I,SiO2-Al2O3-v9,Glasses,66.88,Polynomial,846.45,0.3762,-7.315e-05,0.0,0.0,298,950,J/(kg*K),Springer Open Data
Lead Crystal Glass Grade-J,SiO2-PbO-K2O-v10,Glasses,127.2,Polynomial,551.2,0.2332,-4.24e-05,0.0,0.0,298,750,J/(kg*K),MatWeb
Fused Silica Grade-K,SiO2-v11,Glasses,64.59,Polynomial,752.5,0.48375,-0.0001075,0.0,0.0,298,1400,J/(kg*K),MatWeb
Soda-Lime Glass Grade-L,SiO2-Na2O-CaO-v12,Glasses,57.35,Polynomial,777.0,0.3515,-7.4e-05,0.0,0.0,298,850,J/(kg*K),MatWeb
Borosilicate (Pyrex) Grade-M,SiO2-B2O3-Na2O-v13,Glasses,57.81,Polynomial,733.2,0.376,-8.46e-05,0.0,0.0,298,900,J/(kg*K),MatWeb
Aluminosilicate Glass Grade-N,SiO2-Al2O3-v14,Glasses,61.12,Polynomial,773.55,0.3438,-6.685e-05,0.0,0.0,298,950,J/(kg*K),Springer Open Data
Lead Crystal Glass Grade-O,SiO2-PbO-K2O-v15,Glasses,116.4,Polynomial,504.4,0.2134,-3.88e-05,0.0,0.0,298,750,J/(kg*K),MatWeb
Fused Silica Grade-P,SiO2-v16,Glasses,59.18,Polynomial,689.5,0.44325,-9.85e-05,0.0,0.0,298,1400,J/(kg*K),MatWeb
Soda-Lime Glass Grade-Q,SiO2-Na2O-CaO-v17,Glasses,62.0,Polynomial,840.0,0.38,-8e-05,0.0,0.0,298,850,J/(kg*K),MatWeb
